TargetName	HUGOSymbol	TargetGroup	AnalyteType	CodeClass	ProbePool	MinCount	MaxCount	MedianCount	GeomeanCount	NumberOfProbesIncluded	NumberOfProbesTotal	GeneID
Ubxn6	Ubxn6	All Targets	RNA	Endogenous	01	3.075598451	23.06698839	9.92340526	9.858823845	1	1	66530
Mprip	Mprip	All Targets	RNA	Endogenous	01	6.920096516	25.09688336	11.99187665	12.57372783	1	1	26936
Gdi2	Gdi2	All Targets	RNA	Endogenous	01	14.35279277	48.18437574	33.01142338	31.46364422	1	1	14569
D430041D05Rik	D430041D05Rik	All Targets	RNA	Endogenous	01	0.971241616	15.37799226	6.151196903	5.427277446	1	1	241589
Mcl1	Mcl1	All Targets	RNA	Endogenous	01	12.30239381	43.05837832	26.56750504	26.98456358	1	1	17210
Gm3248	"Gm10409,Gm3005,Gm3002,Gm3685,Gm3264,Gm2897,Gm10340,2610042L04Rik,Gm5458,Gm3411,Gm3173,Gm3317,Gm3558,Gm3667,Gm5796,Gm2956,Gm2974,Gm3373,Gm3636,Gm3696,Gm10338,Gm3752,Gm3500,Gm2237,Gm8246,Gm8108,Gm3248,Gm3383,Gm2888,Gm3488"	All Targets	RNA	Endogenous	01	1.845359071	36.90718142	18.0691409	17.02701241	1	1	100041279
Grin1	Grin1	All Targets	RNA	Endogenous	01	1.537799226	34.55140388	6.151196903	7.089698236	1	1	14810
Stx4a	Stx4a	All Targets	RNA	Endogenous	01	5.272454488	20.05825077	12.4731322	11.86432352	1	1	20909
Acyp2	Acyp2	All Targets	RNA	Endogenous	01	1.845359071	23.48638817	10.46252687	9.397663648	1	1	75572
Nnat	Nnat	All Targets	RNA	Endogenous	01	0.922679535	58.71597044	8.422945759	7.367713454	1	1	18111
Vps33a	Vps33a	All Targets	RNA	Endogenous	01	6.151196903	20.50398968	11.49372352	11.65753075	1	1	77573
Trip10	Trip10	All Targets	RNA	Endogenous	01	2.636227244	18.45359071	9.366595284	8.572555079	1	1	106628
Cep97	Cep97	All Targets	RNA	Endogenous	01	3.690718142	30.75598451	12.14861388	12.6271699	1	1	74201
2310061I04Rik	2310061I04Rik	All Targets	RNA	Endogenous	01	1.537799226	24.60478761	11.00380779	9.85064068	1	1	69662
Fam76b	Fam76b	All Targets	RNA	Endogenous	01	2.460478761	22.14430885	9.642177904	8.995425546	1	1	72826
Cds2	Cds2	All Targets	RNA	Endogenous	01	3.690718142	36.00700626	19.40055128	16.9945774	1	1	110911
Stat3	Stat3	All Targets	RNA	Endogenous	01	9.226795354	35.67694204	22.81068851	20.73130172	1	1	20848
Tpsg1	Tpsg1	All Targets	RNA	Endogenous	01	2.636227244	24.60478761	9.086995425	8.655086411	1	1	26945
Fxyd5	Fxyd5	All Targets	RNA	Endogenous	01	18.90367829	115.3349419	66.64821844	61.0707117	1	1	18301
Cpsf6	Cpsf6	All Targets	RNA	Endogenous	01	10.54490898	35.36938219	19.68383009	19.1740774	1	1	432508
Immp1l	Immp1l	All Targets	RNA	Endogenous	01	2.839013955	23.7260452	9.375614634	9.262246285	1	1	66541
Wdr13	Wdr13	All Targets	RNA	Endogenous	01	3.690718142	25.16398733	11.27002509	11.5810437	1	1	73447
Ogfrl1	Ogfrl1	All Targets	RNA	Endogenous	01	2.050398968	16.88307235	7.688996128	7.267689423	1	1	70155
Ndufa8	Ndufa8	All Targets	RNA	Endogenous	01	5.272454488	38.44498064	18.45359071	17.6437254	1	1	68375
Acly	Acly	All Targets	RNA	Endogenous	01	3.690718142	27.19476525	11.44477501	11.22866351	1	1	104112
H3f3b	"H3f3b,Gm6485"	All Targets	RNA	Endogenous	01	21.52918916	115.3349419	68.33177429	65.74205103	1	1	15081
Crbn	Crbn	All Targets	RNA	Endogenous	01	4.613397677	18.45359071	11.07215442	9.816503007	1	1	58799
Polr2g	Polr2g	All Targets	RNA	Endogenous	01	4.613397677	26.65518658	12.97518097	12.58777023	1	1	67710
Lamc3	Lamc3	All Targets	RNA	Endogenous	01	2.050398968	26.78747038	9.889231944	9.05029101	1	1	23928
Ppp3r1	Ppp3r1	All Targets	RNA	Endogenous	01	5.272454488	81.01576408	16.95895345	17.96473871	1	1	19058
Ate1	Ate1	All Targets	RNA	Endogenous	01	4.100797935	20.91406947	11.84766823	11.78796736	1	1	11907
St6galnac2	St6galnac2	All Targets	RNA	Endogenous	01	5.536077212	18.45359071	9.226795354	10.039301	1	1	20446
Penk	Penk	All Targets	RNA	Endogenous	01	3.690718142	149.429076	14.27393127	15.22655756	1	1	18619
Plpp6	Plpp6	All Targets	RNA	Endogenous	01	1.845359071	20.13118986	9.534697313	9.215276936	1	1	74411
Adipor2	Adipor2	All Targets	RNA	Endogenous	01	1.318113622	27.3827475	10.64630233	10.84224133	1	1	68465
Nefm	Nefm	All Targets	RNA	Endogenous	01	1.318113622	25.52092332	6.845686876	6.878431211	1	1	18040
Abcf1	Abcf1	All Targets	RNA	Endogenous	01	6.151196903	28.99849968	12.23695554	12.05546969	1	1	224742
Oasl2	Oasl2	All Targets	RNA	Endogenous	01	2.839013955	24.60478761	12.15934271	11.69452914	1	1	23962
Rab21	Rab21	All Targets	RNA	Endogenous	01	7.097534888	24.60478761	13.22232727	13.45596931	1	1	216344
Maco1	Maco1	All Targets	RNA	Endogenous	01	4.920957522	22.55438864	12.97834951	12.16398612	1	1	66146
Ppp3cb	Ppp3cb	All Targets	RNA	Endogenous	01	8.20159587	34.06816746	19.51588623	19.29148471	1	1	19056
Wfdc13	Wfdc13	All Targets	RNA	Endogenous	01	2.636227244	19.22249032	12.22737921	11.12539043	1	1	408190
Pex16	Pex16	All Targets	RNA	Endogenous	01	1.845359071	31.3711042	10.69932297	10.27201941	1	1	18633
Tmem215	Tmem215	All Targets	RNA	Endogenous	01	2.839013955	15.53986586	8.137520903	8.224766745	1	1	320500
Sgms1	Sgms1	All Targets	RNA	Endogenous	01	3.690718142	66.63796645	22.20794192	20.72191115	1	1	208449
Anp32e	Anp32e	All Targets	RNA	Endogenous	01	11.53349419	66.1253667	35.54300468	32.19993586	1	1	66471
Dync1i2	Dync1i2	All Targets	RNA	Endogenous	01	12.30239381	34.27095417	20.92974718	20.47367195	1	1	13427
Fam120b	Fam120b	All Targets	RNA	Endogenous	01	3.690718142	29.52574513	10.03064495	10.26985959	1	1	67544
AU021092	AU021092	All Targets	RNA	Endogenous	01	2.306698839	24.4063619	12.16867213	10.81615541	1	1	239691
Insig2	Insig2	All Targets	RNA	Endogenous	01	1.318113622	20.39607394	9.324952751	8.935442439	1	1	72999
Pde7b	Pde7b	All Targets	RNA	Endogenous	01	4.258520933	27.00525469	11.07215442	11.07599503	1	1	29863
Frmd4b	Frmd4b	All Targets	RNA	Endogenous	01	3.954340866	18.45359071	10.19980286	9.856533065	1	1	232288
Traf6	Traf6	All Targets	RNA	Endogenous	01	3.075598451	21.60420376	10.71498815	10.76347833	1	1	22034
Armc8	Armc8	All Targets	RNA	Endogenous	01	3.075598451	19.80385344	9.734937707	9.020017855	1	1	74125
Vwf	Vwf	All Targets	RNA	Endogenous	01	12.30239381	120.8412553	40.29033971	37.31918628	1	1	22371
Dnajb9	"Dnajb9,Gm6568"	All Targets	RNA	Endogenous	01	6.151196903	24.13161862	14.76287257	14.18674351	1	1	27362
Cited2	Cited2	All Targets	RNA	Endogenous	01	4.613397677	35.36938219	12.30239381	12.23765046	1	1	17684
Skida1	Skida1	All Targets	RNA	Endogenous	01	2.306698839	25.83502699	9.564361038	8.911248476	1	1	72668
Fam214b	Fam214b	All Targets	RNA	Endogenous	01	5.272454488	20.29894978	10.46782631	10.39640137	1	1	230088
Sprn	Sprn	All Targets	RNA	Endogenous	01	7.688996128	41.00797935	20.0612899	19.75058181	1	1	212518
Aimp1	Aimp1	All Targets	RNA	Endogenous	01	6.920096516	23.48638817	14.88559349	14.58390409	1	1	13722
Pxdn	Pxdn	All Targets	RNA	Endogenous	01	5.536077212	35.48767444	14.42602131	14.49111213	1	1	69675
Proser1	Proser1	All Targets	RNA	Endogenous	01	3.075598451	22.71211164	11.19120985	10.73666323	1	1	212127
Dhdds	Dhdds	All Targets	RNA	Endogenous	01	2.050398968	24.60478761	11.07215442	10.54572356	1	1	67422
Adam12	Adam12	All Targets	RNA	Endogenous	01	3.954340866	22.14430885	9.919237782	9.866130921	1	1	11489
Nfat5	Nfat5	All Targets	RNA	Endogenous	01	3.075598451	27.97802462	13.18113622	12.6938588	1	1	54446
Hbb-b1	"Hbb-bt,Hbb-b1,Hbb-bs"	All Targets	RNA	Endogenous	01	4.920957522	791.6590414	62.81318376	54.68040509	1	1	15129
Dynlrb1	Dynlrb1	All Targets	RNA	Endogenous	01	8.611675664	36.1382818	20.9495931	20.20795433	1	1	67068
Sms	Sms	All Targets	RNA	Endogenous	01	2.306698839	136.8641311	34.41488612	28.11884935	1	1	20603
Hras	Hras	All Targets	RNA	Endogenous	01	6.151196903	31.63472693	15.62833167	14.85623972	1	1	15461
Taf9b	Taf9b	All Targets	RNA	Endogenous	01	4.613397677	18.45359071	9.827935051	9.696704761	1	1	407786
Irf1	Irf1	All Targets	RNA	Endogenous	01	3.690718142	32.64866048	15.71229644	15.01810341	1	1	16362
Ddb1	Ddb1	All Targets	RNA	Endogenous	01	8.611675664	38.75254049	24.72307986	23.79667973	1	1	13194
Mdk	Mdk	All Targets	RNA	Endogenous	01	2.913724849	29.21818529	14.27393127	13.53725437	1	1	17242
Txn2	Txn2	All Targets	RNA	Endogenous	01	2.306698839	20.13118986	12.86625352	12.01791769	1	1	56551
Rapgef1	Rapgef1	All Targets	RNA	Endogenous	01	12.7755628	42.73463111	28.57703389	27.63474037	1	1	107746
Cnot6	Cnot6	All Targets	RNA	Endogenous	01	3.884966465	25.83502699	14.51327233	14.64058354	1	1	104625
2810004N23Rik	2810004N23Rik	All Targets	RNA	Endogenous	01	2.460478761	27.68038606	11.21410512	10.50055612	1	1	66523
Tm9sf3	Tm9sf3	All Targets	RNA	Endogenous	01	9.226795354	31.63472693	22.09260698	21.23024981	1	1	107358
Lsm6	Lsm6	All Targets	RNA	Endogenous	01	6.151196903	18.45359071	12.452423	11.77049813	1	1	78651
Ndfip1	Ndfip1	All Targets	RNA	Endogenous	01	13.63961052	43.70587273	25.46240641	24.94577794	1	1	65113
Ube2v1	Ube2v1	All Targets	RNA	Endogenous	01	8.304115819	35.36938219	22.46713762	22.1200095	1	1	66589
Snrpd2	Snrpd2	All Targets	RNA	Endogenous	01	4.856208081	39.98277987	24.60478761	22.37731984	1	1	107686
Atp6ap2	Atp6ap2	All Targets	RNA	Endogenous	01	3.075598451	25.52092332	13.16915337	12.89648809	1	1	70495
Nt5c	Nt5c	All Targets	RNA	Endogenous	01	7.76993293	24.60478761	13.43011324	13.61922197	1	1	50773
Vrk2	Vrk2	All Targets	RNA	Endogenous	01	1.419506978	29.52574513	8.406635767	8.171738004	1	1	69922
Rad23b	Rad23b	All Targets	RNA	Endogenous	01	14.99354245	68.43206554	36.19742793	33.69647817	1	1	19359
Pdcd6ip	Pdcd6ip	All Targets	RNA	Endogenous	01	5.272454488	23.06698839	13.84019303	13.76936274	1	1	18571
5031439G07Rik	5031439G07Rik	All Targets	RNA	Endogenous	01	2.306698839	24.60478761	12.30239381	11.61387821	1	1	223739
Rfxap	Rfxap	All Targets	RNA	Endogenous	01	2.306698839	26.65518658	13.27204061	12.20744293	1	1	170767
Cmip	Cmip	All Targets	RNA	Endogenous	01	3.690718142	32.74024158	12.42541774	12.25303977	1	1	74440
Nsg2	Nsg2	All Targets	RNA	Endogenous	01	0.512599742	30.60595532	6.387781399	6.977037831	1	1	18197
4930402F06Rik	4930402F06Rik	All Targets	RNA	Endogenous	01	1.537799226	23.06698839	8.073445935	7.779916455	1	1	74854
Tspan7	Tspan7	All Targets	RNA	Endogenous	01	1.845359071	89.9612547	8.565376332	9.6735122	1	1	21912
Fam102b	Fam102b	All Targets	RNA	Endogenous	01	3.690718142	23.98966792	12.65649231	12.26389474	1	1	329739
Stom	Stom	All Targets	RNA	Endogenous	01	3.075598451	37.87842303	10.04301187	10.31876189	1	1	13830
Pik3ip1	Pik3ip1	All Targets	RNA	Endogenous	01	2.306698839	23.06698839	9.366595284	8.90707714	1	1	216505
Pex13	Pex13	All Targets	RNA	Endogenous	01	2.913724849	24.60478761	13.07370376	12.19356558	1	1	72129
Mlc1	Mlc1	All Targets	RNA	Endogenous	01	2.050398968	37.48385613	8.98398495	9.356641389	1	1	170790
Eef1a2	Eef1a2	All Targets	RNA	Endogenous	01	1.419506978	58.50180884	8.265670838	9.081898025	1	1	13628
Kit	Kit	All Targets	RNA	Endogenous	01	3.075598451	26.22352364	9.663951989	9.542302377	1	1	16590
Atp6v1g2	Atp6v1g2	All Targets	RNA	Endogenous	01	2.636227244	38.87032936	15.90523771	14.76742296	1	1	66237
Kdm1a	Kdm1a	All Targets	RNA	Endogenous	01	4.613397677	28.6030656	14.72869925	14.97503978	1	1	99982
Anapc16	Anapc16	All Targets	RNA	Endogenous	01	4.258520933	18.45359071	13.56500791	12.41235387	1	1	52717
Nr1h2	Nr1h2	All Targets	RNA	Endogenous	01	5.032797466	23.98966792	12.46426741	12.34435797	1	1	22260
Dtna	Dtna	All Targets	RNA	Endogenous	01	2.050398968	22.14430885	7.881221032	7.616328315	1	1	13527
Adam9	Adam9	All Targets	RNA	Endogenous	01	5.272454488	23.06698839	13.20141489	13.11076	1	1	11502
Snx15	Snx15	All Targets	RNA	Endogenous	01	3.690718142	18.45359071	11.01448695	10.38853122	1	1	69024
Tmx4	Tmx4	All Targets	RNA	Endogenous	01	2.050398968	19.42483232	9.734937707	8.752883664	1	1	52837
Tmem9b	Tmem9b	All Targets	RNA	Endogenous	01	1.845359071	18.45359071	11.23626077	9.376000081	1	1	56786
Pltp	Pltp	All Targets	RNA	Endogenous	01	2.913724849	139.294846	16.25335489	20.07229905	1	1	18830
Tmem258	Tmem258	All Targets	RNA	Endogenous	01	6.548048316	29.21818529	18.45359071	17.22581835	1	1	69038
Gpat4	Gpat4	All Targets	RNA	Endogenous	01	3.075598451	19.99138993	13.79111433	12.3959255	1	1	102247
Cdkn1b	Cdkn1b	All Targets	RNA	Endogenous	01	6.920096516	39.54340866	21.21733778	21.69018454	1	1	12576
Rabl6	Rabl6	All Targets	RNA	Endogenous	01	11.65489939	34.27095417	20.0554649	20.51464287	1	1	227624
Mcrip1	Mcrip1	All Targets	RNA	Endogenous	01	6.151196903	23.30979879	13.84019303	13.52562285	1	1	192173
Fgfr1op2	Fgfr1op2	All Targets	RNA	Endogenous	01	1.942483232	17.30024129	9.936548843	9.312079067	1	1	67529
Ddx46	Ddx46	All Targets	RNA	Endogenous	01	4.613397677	22.29808877	12.80217855	12.16727971	1	1	212880
LOC118567641	LOC118567641	All Targets	RNA	Endogenous	01	2.050398968	26.22352364	12.89385505	11.20114078	1	1	118567641
Fnbp4	Fnbp4	All Targets	RNA	Endogenous	01	3.690718142	22.71211164	10.54490898	10.04942962	1	1	55935
Fbxo28	Fbxo28	All Targets	RNA	Endogenous	01	2.306698839	16.14689187	10.07245909	8.570370229	1	1	67948
Pmm1	Pmm1	All Targets	RNA	Endogenous	01	2.460478761	22.50437891	12.20573214	11.25652278	1	1	29858
Nono	Nono	All Targets	RNA	Endogenous	01	13.34940604	35.753832	21.66898909	21.59390693	1	1	53610
Gng3	Gng3	All Targets	RNA	Endogenous	01	2.306698839	39.59833006	7.196570258	7.511123833	1	1	14704
Gpm6b	Gpm6b	All Targets	RNA	Endogenous	01	3.075598451	122.4238213	12.47020374	15.67933087	1	1	14758
Dipk1a	Dipk1a	All Targets	RNA	Endogenous	01	2.406990092	18.45359071	7.750508097	7.395153971	1	1	67266
Npc1	Npc1	All Targets	RNA	Endogenous	01	3.690718142	22.14430885	11.44477501	10.54867183	1	1	18145
Ank2	Ank2	All Targets	RNA	Endogenous	01	1.845359071	37.6924406	9.226795354	8.738122836	1	1	109676
Arhgef25	Arhgef25	All Targets	RNA	Endogenous	01	3.690718142	38.69301278	12.99440346	13.43395006	1	1	52666
Arf5	Arf5	All Targets	RNA	Endogenous	01	10.68365778	49.97847483	32.39630369	30.66777455	1	1	11844
Sde2	Sde2	All Targets	RNA	Endogenous	01	4.258520933	24.60478761	11.69904674	12.58803262	1	1	208768
1700123O20Rik	1700123O20Rik	All Targets	RNA	Endogenous	01	7.143325435	29.80964653	16.56629166	16.28098129	1	1	58248
Med13l	Med13l	All Targets	RNA	Endogenous	01	7.381436283	30.95441022	18.77175607	18.07059324	1	1	76199
Srsf5	Srsf5	All Targets	RNA	Endogenous	01	12.7755628	105.9593273	39.74208086	37.78207534	1	1	20384
Nol7	Nol7	All Targets	RNA	Endogenous	01	8.073445935	26.14258684	15.19917839	14.80426129	1	1	70078
Dpm1	"Gm20716,Dpm1"	All Targets	RNA	Endogenous	01	2.636227244	18.45359071	8.517041865	8.589908268	1	1	13480
Cdk8	Cdk8	All Targets	RNA	Endogenous	01	5.149839267	22.14430885	12.56983715	11.97580671	1	1	264064
Sh3bgrl3	Sh3bgrl3	All Targets	RNA	Endogenous	01	12.30239381	49.82469491	30.99256901	30.01028532	1	1	73723
Zfyve9	Zfyve9	All Targets	RNA	Endogenous	01	3.690718142	20.76028955	9.119507036	9.179089393	1	1	230597
Slc30a5	Slc30a5	All Targets	RNA	Endogenous	01	3.075598451	16.20315282	8.875487772	8.971795181	1	1	69048
Scrib	Scrib	All Targets	RNA	Endogenous	01	3.690718142	14.76287257	9.777165603	8.978542592	1	1	105782
Btg1	Btg1	All Targets	RNA	Endogenous	01	3.690718142	40.26237973	19.77846389	18.47100359	1	1	12226
Spop	Spop	All Targets	RNA	Endogenous	01	6.920096516	38.08507019	23.34217351	23.22145636	1	1	20747
Zbtb43	Zbtb43	All Targets	RNA	Endogenous	01	2.050398968	15.37799226	8.329745806	7.792548602	1	1	71834
Pex5l	Pex5l	All Targets	RNA	Endogenous	01	8.304115819	43.18925485	18.45359071	18.50562342	1	1	58869
Tmem160	Tmem160	All Targets	RNA	Endogenous	01	4.100797935	28.99849968	14.72200797	12.77398514	1	1	69094
Chd6	Chd6	All Targets	RNA	Endogenous	01	4.011650154	16.07248223	9.226795354	9.118274042	1	1	71389
Bax	Bax	All Targets	RNA	Endogenous	01	2.768038606	18.45359071	11.03552199	10.50391892	1	1	12028
Lsm4	Lsm4	All Targets	RNA	Endogenous	01	5.536077212	27.68038606	15.58303215	14.81911761	1	1	50783
Nsd1	Nsd1	All Targets	RNA	Endogenous	01	9.226795354	28.06483587	18.30872556	17.76097435	1	1	18193
Trib1	Trib1	All Targets	RNA	Endogenous	01	6.151196903	22.14430885	11.6982584	11.79400343	1	1	211770
Nfic	Nfic	All Targets	RNA	Endogenous	01	2.050398968	28.99849968	9.856220153	9.275373282	1	1	18029
Ahsa2	Ahsa2	All Targets	RNA	Endogenous	01	6.920096516	21.63524428	12.80217855	12.16229558	1	1	268390
Robo4	Robo4	All Targets	RNA	Endogenous	01	6.151196903	38.95758038	21.6170634	19.39480353	1	1	74144
Ppp2ca	Ppp2ca	All Targets	RNA	Endogenous	01	7.381436283	29.63758508	16.32899967	16.4878958	1	1	19052
Zcchc8	Zcchc8	All Targets	RNA	Endogenous	01	3.690718142	26.36227244	10.42649688	9.738043795	1	1	70650
Gmps	Gmps	All Targets	RNA	Endogenous	01	6.151196903	26.14258684	15.05937846	15.14886104	1	1	229363
Timm10	Timm10	All Targets	RNA	Endogenous	01	3.075598451	38.32668839	15.65006443	14.97964495	1	1	30059
Impdh1	Impdh1	All Targets	RNA	Endogenous	01	4.100797935	27.68038606	10.26480983	10.55158917	1	1	23917
Zfp978	"Zfp978,Zfp979"	All Targets	RNA	Endogenous	01	2.636227244	17.03408373	9.603556164	8.570452333	1	1	108168963
Ilf2	Ilf2	All Targets	RNA	Endogenous	01	3.075598451	18.45359071	9.515414564	9.570577935	1	1	67781
Cldn1	Cldn1	All Targets	RNA	Endogenous	01	2.636227244	22.14430885	9.226795354	8.853453413	1	1	12737
Vopp1	Vopp1	All Targets	RNA	Endogenous	01	4.920957522	21.08981795	11.07215442	10.70865823	1	1	232023
4833439L19Rik	4833439L19Rik	All Targets	RNA	Endogenous	01	6.920096516	23.7260452	14.87820751	14.24503528	1	1	97820
Nr2f2	Nr2f2	All Targets	RNA	Endogenous	01	8.63785097	50.59855517	20.61050391	20.07946113	1	1	11819
Rps17	"Gm6402,Rps17"	All Targets	RNA	Endogenous	01	33.55198311	330.6268335	168.2776573	139.104306	1	1	20068
Raf1	Raf1	All Targets	RNA	Endogenous	01	4.613397677	29.52574513	16.46628094	16.27821628	1	1	110157
Dek	Dek	All Targets	RNA	Endogenous	01	9.226795354	35.36938219	18.45359071	18.94889542	1	1	110052
Rtf1	Rtf1	All Targets	RNA	Endogenous	01	3.690718142	23.7260452	10.50246971	10.6968341	1	1	76246
Kcnq1	Kcnq1	All Targets	RNA	Endogenous	01	7.143325435	32.45286642	17.74383722	16.13905911	1	1	16535
Elf1	Elf1	All Targets	RNA	Endogenous	01	3.954340866	20.8605808	12.66548529	12.35867519	1	1	13709
Mt1	Mt1	All Targets	RNA	Endogenous	01	3.075598451	339.0847293	18.45359071	25.48223847	1	1	17748
Abcg1	Abcg1	All Targets	RNA	Endogenous	01	6.920096516	25.5511256	15.57930416	15.72523822	1	1	11307
Ppp2r5a	Ppp2r5a	All Targets	RNA	Endogenous	01	11.53349419	39.98277987	25.12075972	23.84321384	1	1	226849
Mrpl40	Mrpl40	All Targets	RNA	Endogenous	01	9.226795354	45.10877729	24.41256271	23.10948566	1	1	18100
Vmn2r2	Vmn2r2	All Targets	RNA	Endogenous	01	2.050398968	15.99311195	9.226795354	8.717908554	1	1	100125586
Flii	Flii	All Targets	RNA	Endogenous	01	6.151196903	23.81108478	13.07129342	13.01883364	1	1	14248
Gm52800	Gm52800	All Targets	RNA	Endogenous	01	46.13397677	286.030656	111.4402982	122.3676727	1	1	115490161
Polr2b	Polr2b	All Targets	RNA	Endogenous	01	3.690718142	18.45359071	11.30282431	10.63176251	1	1	231329
Anapc11	Anapc11	All Targets	RNA	Endogenous	01	7.381436283	54.07331231	30.24338477	27.41534789	1	1	66156
Plxna1	Plxna1	All Targets	RNA	Endogenous	01	3.954340866	20.29894978	11.45058958	11.11587309	1	1	18844
Fam168a	Fam168a	All Targets	RNA	Endogenous	01	3.075598451	26.52703664	10.46252687	10.40661538	1	1	319604
Tmem242	Tmem242	All Targets	RNA	Endogenous	01	3.460048258	19.37627024	10.24072891	9.478217723	1	1	70544
Plxnd1	Plxnd1	All Targets	RNA	Endogenous	01	7.381436283	84.88651726	38.1374208	32.31392448	1	1	67784
